displacement_type,combined_type,month,duration_days,latitude,longitude,year,region,is_large_event
Disaster,Flood,4,6,2.11667,45.400002,2026,Other,1
Conflict,Conflict,2,6,2.12264,45.27402,2026,Other,0
Disaster,Drought,2,6,0.63383,42.742885,2026,Middle Juba,0
Disaster,Drought,2,6,0.419905,42.64308,2026,Middle Juba,0
Disaster,Drought,2,6,2.12264,45.27402,2026,Other,0
Disaster,Drought,2,6,10.381885,47.028245,2026,Sanaag,0
Disaster,Drought,2,6,9.28238,46.49009,2026,Other,0
Disaster,Drought,2,6,4.431395,43.952275,2026,Bakool,0
Disaster,Drought,2,6,4.18891,43.90622,2026,Bakool,0
Disaster,Drought,2,6,0.803975,41.875375000000005,2026,Middle Juba,0
Disaster,Drought,2,6,0.5909,41.78618,2026,Lower Juba,0
Disaster,Drought,2,6,0.63523,42.30405,2026,Lower Juba,0
Disaster,Drought,2,6,1.0193,41.536345,2026,Lower Juba,1
Disaster,Drought,2,6,-0.1442449999999999,42.645165000000006,2026,Lower Juba,0
Disaster,Drought,2,6,0.06968,42.74497,2026,Lower Juba,0
Conflict,Conflict,1,6,0.14325,42.800965000000005,2026,Middle Juba,0
Disaster,Drought,1,6,9.52213,45.53363,2026,Other,0
Disaster,Drought,1,6,10.71422,48.33591,2026,Sanaag,0
Disaster,Drought,1,6,3.20597,42.557685000000006,2026,Bay,0
Disaster,Drought,1,6,3.90284,42.34248,2026,Gedo,0
Disaster,Drought,1,6,3.40883,42.49045,2026,Gedo,0
Disaster,Drought,1,6,0.14325,42.800965000000005,2026,Middle Juba,0
Disaster,Drought,1,6,3.09074,46.26398,2026,Other,0
Disaster,Drought,1,6,3.90006,45.53233,2026,Hiiraan,0
Conflict,Conflict,1,6,-0.1442449999999999,42.645165000000006,2026,Lower Juba,0
Conflict,Conflict,1,6,0.63523,42.30405,2026,Lower Juba,0
Disaster,Drought,1,6,3.40329,45.61273,2026,Hiiraan,0
Disaster,Drought,1,6,4.72434,45.37964,2026,Hiiraan,0
Disaster,Drought,1,6,3.55818,42.895295,2026,Bay,0
Disaster,Drought,1,6,3.43559,41.7337,2026,Gedo,1
Disaster,Drought,1,6,2.6861757,41.441251,2026,Gedo,1
Disaster,Drought,1,6,2.1381,45.1212,2026,Other,1
Disaster,Drought,1,6,3.16988745,42.2128604,2026,Other,0
Disaster,Drought,1,6,4.09572,43.023505,2026,Gedo,0
Disaster,Drought,1,6,3.24395,43.073835,2026,Bay,0
Disaster,Drought,1,6,4.338205,43.06956,2026,Bakool,0
Disaster,Drought,1,6,6.76972,47.43083,2026,Mudug,0
Disaster,Drought,1,6,1.49095745,42.6707504,2026,Other,0
Conflict,Conflict,1,6,3.81645,43.43285,2026,Bakool,0
Disaster,Drought,1,6,7.16241,49.00102,2026,Mudug,1
Disaster,Drought,1,6,3.30914,42.69214,2026,Gedo,0
Disaster,Drought,1,6,3.206,42.35912,2026,Gedo,0
Disaster,Drought,1,6,2.37332745,42.6297554,2026,Other,0
Disaster,Drought,1,6,0.419905,42.64308,2026,Middle Juba,0
Disaster,Drought,1,6,10.14761,46.68854,2026,Sanaag,0
Disaster,Drought,1,6,9.74917,48.82194,2026,Sanaag,0
Disaster,Drought,1,6,7.8022,48.39912,2026,Other,0
Disaster,Drought,1,6,0.5909,41.78618,2026,Lower Juba,0
Disaster,Drought,1,6,7.03917,47.22166,2026,Mudug,0
Disaster,Drought,1,6,10.625525,48.515795,2026,Sanaag,0
Disaster,Drought,1,6,9.92793,47.92169,2026,Sanaag,0
Disaster,Drought,1,6,2.57618745,42.5625204,2026,Other,0
Disaster,Drought,1,6,2.48779,45.6592,2026,Other,0
Disaster,Drought,1,6,2.3372449,42.2849308,2026,Other,0
Disaster,Drought,1,6,1.0193,41.536345,2026,Lower Juba,1
Disaster,Drought,1,6,3.4584900000000003,43.096985,2026,Bay,0
Disaster,Drought,1,6,10.61616,47.36795,2026,Sanaag,0
