id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
247450,Somalia,SOM,2.11667,45.400002,"[2.11667, 45.400002]",Recommended figure,Disaster,total,4000,2026-04-26,2026-04-25,2026-04-26,2026,42303,Somalia: Flood - south-eastern Somalia (Banadir) - 25/04/2026,,,2026-04-25,2026-04-26,Weather related,Hydrological,Flood,Flood,,United Nations High Commissioner for Refugees (UNHCR),,"Banaadir, Mogadishu مقديشو, Banaadir, Somalia","2.11667, 45.400002",Point,Origin,Displacement without preventive evacuations reported,2026-05-11T13:09:22.796566Z,"Somalia: 4,000 displacements, 25 April - 26 April. According to reported sources, at least 4,000 people were reported displaced in Banaadir, Mogadishu, Somalia after flooding between the 25th and 26th of April 2026. ReliefWeb - 30 April 2026",,Flood
240683,Somalia,SOM,2.12264,45.27402,"[2.12264, 45.27402]",Recommended figure,Conflict,total,22,2026-02-07,2026-02-01,2026-02-07,2026,40324,Somalia: Unclear/Unknown - Lower Shabelle - 01/02/2026,,,2026-02-01,2026-02-28,,,,,,Protection and Return Monitoring Network (PRMN),,"Afgooye, Lower Shabeelle, Somalia; Banadir, Banaadir, Somalia","2.1381, 45.1212; 2.10718, 45.42684",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-20T16:36:08.277044Z,"Somalia: 22 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 22 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Conflict. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Conflict
240684,Somalia,SOM,0.63383,42.742885,"[0.63383, 42.742885]",Recommended figure,Disaster,total,10,2026-02-07,2026-02-01,2026-02-07,2026,40345,Somalia: Drought - Middle Juba - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Bu'aale, Middle Juba, Somalia; Jamaame, Lower Juba, Somalia","1.19798, 42.7408; 0.06968, 42.74497",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-20T16:36:08.333495Z,"Somalia: 10 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 10 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240682,Somalia,SOM,0.41990500000000003,42.64308,"[0.41990500000000003, 42.64308]",Recommended figure,Disaster,total,16,2026-02-07,2026-02-01,2026-02-07,2026,40345,Somalia: Drought - Middle Juba - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Bu'aale, Middle Juba, Somalia; Kismayo, Lower Juba, Somalia","1.19798, 42.7408; -0.35817, 42.54536",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-20T16:36:08.214598Z,"Somalia: 16 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 16 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240681,Somalia,SOM,2.12264,45.27402,"[2.12264, 45.27402]",Recommended figure,Disaster,total,17,2026-02-07,2026-02-01,2026-02-07,2026,40343,Somalia: Drought - Lower Shabelle - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Afgooye, Lower Shabeelle, Somalia; Banadir, Banaadir, Somalia","2.1381, 45.1212; 2.10718, 45.42684",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-20T16:36:08.154048Z,"Somalia: 17 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 17 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240671,Somalia,SOM,10.381885,47.028245,"[10.381885, 47.028245]",Recommended figure,Disaster,total,4,2026-02-07,2026-02-01,2026-02-07,2026,40346,Somalia: Drought - Sanaag - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Ceel Afweyn, Sanaag, Somalia; Ceerigaabo, Sanaag, Somalia","10.14761, 46.68854; 10.61616, 47.36795",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-20T16:34:12.614416Z,"Somalia: 4 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 4 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240672,Somalia,SOM,9.28238,46.49009,"[9.28238, 46.49009]",Recommended figure,Disaster,total,5,2026-02-07,2026-02-01,2026-02-07,2026,40347,Somalia: Drought - Sool - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Caynabo, Sool, Somalia","9.28238, 46.49009",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:34:12.662077Z,"Somalia: 5 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 5 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240673,Somalia,SOM,4.431395,43.952275,"[4.431395, 43.952275]",Recommended figure,Disaster,total,17,2026-02-07,2026-02-01,2026-02-07,2026,40342,Somalia: Drought - Bakool - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Ceel Barde, Bakool, Somalia; Xudur, Bakool, Somalia","4.67388, 43.99833; 4.18891, 43.90622",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-20T16:34:12.711727Z,"Somalia: 17 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 17 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240674,Somalia,SOM,4.18891,43.90622,"[4.18891, 43.90622]",Recommended figure,Disaster,total,8,2026-02-07,2026-02-01,2026-02-07,2026,40342,Somalia: Drought - Bakool - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Xudur, Bakool, Somalia","4.18891, 43.90622",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:36:07.756314Z,"Somalia: 8 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 8 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240675,Somalia,SOM,0.803975,41.875375000000005,"[0.803975, 41.875375000000005]",Recommended figure,Disaster,total,10,2026-02-07,2026-02-01,2026-02-07,2026,40345,Somalia: Drought - Middle Juba - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Bu'aale, Middle Juba, Somalia; Dhobley, Lower Juba, Somalia","1.19798, 42.7408; 0.40997, 41.00995",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-20T16:36:07.822610Z,"Somalia: 10 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 10 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
